duration_time,energy_consumption,relative EDP
11.826954261s,224.94Joules,10.917167053675989
7.892828521s,146.74Joules,4.752821785480573
5.916898457s,115.86Joules,2.8131830251303773
5.057998894s,101.0Joules,2.096382142773823
4.360942248s,85.19Joules,1.5245416773323903
3.901625236s,81.76Joules,1.3090516495470232
3.548336853s,74.54Joules,1.0853869062937431
3.264091752s,75.61Joules,1.012772601703916
11.890201088s,241.6Joules,11.788443797660484
8.159606703s,146.65Joules,4.91045393433014
5.911279582s,110.59Joules,2.682672802356789
5.030100396s,98.87Joules,2.040852112207769
4.387046791s,86.01Joules,1.5484299467184217
3.962345804s,79.8Joules,1.2975545175122163
3.56618497s,74.1Joules,1.0844072716194837
3.230755965s,77.67Joules,1.0297405328105238
11.774188053s,232.18Joules,11.218276051791694
7.867781771s,145.91Joules,4.710941493829442
6.138533055s,114.84Joules,2.8928647559605114
5.204278334s,99.44Joules,2.1236941896162476
4.378250143s,84.62Joules,1.5203512634951688
3.930193878s,83.32Joules,1.3437967423886144
3.552298849s,77.16Joules,1.1247915937389135
3.194872192s,76.06Joules,0.9971951514249555
12.154318932s,236.94Joules,11.817874130946386
7.629969257s,140.21Joules,4.390076874613524
6.246262967s,114.9Joules,2.9451718482126252
5.26937383s,103.16Joules,2.2306975563816898
4.21432024s,88.78Joules,1.5353699006730162
4.006464261s,84.52Joules,1.389604171843104
3.514068235s,75.5Joules,1.088748299514921
3.266572138s,76.03Joules,1.0191722537666343
11.374324747s,239.79Joules,11.192498352325508
8.059437378s,136.33Joules,4.5088574775579655
6.0372579s,118.32Joules,2.931353789856655
5.206931734s,100.76Joules,2.1529819583864884
4.240166591s,84.11Joules,1.4635275448914187
3.972523858s,82.19Joules,1.339848956797318
3.481690698s,76.05Joules,1.0865751123391931
3.222500394s,75.62Joules,1.0
