Configuration,duration_time,energy_consumption,%Overhead (duration_time),%Overhead (energy_consumption)
ECoreFirst - 50Watt - 2cores,7.388970887s,253.0Joules,240.1%,-32.7%
ECoreFirst - 50Watt - 4cores,4.467615106s,203.0Joules,105.6%,-46.0%
ECoreFirst - 50Watt - 8cores,2.795871721s,183.0Joules,28.7%,-51.3%
ECoreFirst - 50Watt - 12cores,2.58728925s,155.0Joules,19.1%,-58.8%
ECoreFirst - 50Watt - 16cores,2.40292098s,142.0Joules,10.6%,-62.2%
ECoreFirst - 50Watt - 20cores,2.451446537s,153.0Joules,12.8%,-59.3%
ECoreFirst - 50Watt - 24cores,2.57135289s,149.0Joules,18.4%,-60.4%
ECoreFirst - 50Watt - 28cores,3.010248985s,169.0Joules,38.6%,-55.1%
ECoreFirst - 50Watt - 32cores,3.752751973s,202.0Joules,72.7%,-46.3%
ECoreFirst - 75Watt - 2cores,7.427849551s,253.0Joules,241.9%,-32.7%
ECoreFirst - 75Watt - 4cores,4.463269615s,202.0Joules,105.4%,-46.3%
ECoreFirst - 75Watt - 8cores,2.776378551s,185.0Joules,27.8%,-50.8%
ECoreFirst - 75Watt - 12cores,2.421144797s,208.0Joules,11.4%,-44.7%
ECoreFirst - 75Watt - 16cores,2.152911313s,219.0Joules,-0.9%,-41.8%
ECoreFirst - 75Watt - 20cores,2.083818017s,286.0Joules,-4.1%,-23.9%
ECoreFirst - 75Watt - 24cores,2.097529114s,337.0Joules,-3.5%,-10.4%
ECoreFirst - 75Watt - 28cores,2.128995889s,329.0Joules,-2.0%,-12.5%
ECoreFirst - 75Watt - 32cores,2.212770361s,379.0Joules,1.9%,0.8%
ECoreFirst - 100Watt - 2cores,7.535277648s,254.0Joules,246.9%,-32.4%
ECoreFirst - 100Watt - 4cores,4.51387393s,204.0Joules,107.8%,-45.7%
ECoreFirst - 100Watt - 8cores,2.873037148s,189.0Joules,32.2%,-49.7%
ECoreFirst - 100Watt - 12cores,2.500791288s,216.0Joules,15.1%,-42.6%
ECoreFirst - 100Watt - 16cores,2.201829195s,230.0Joules,1.4%,-38.8%
ECoreFirst - 100Watt - 20cores,2.243888788s,277.0Joules,3.3%,-26.3%
ECoreFirst - 100Watt - 24cores,2.359274028s,356.0Joules,8.6%,-5.3%
ECoreFirst - 100Watt - 28cores,2.332379519s,343.0Joules,7.4%,-8.8%
ECoreFirst - 100Watt - 32cores,2.465780729s,387.0Joules,13.5%,2.9%
ECoreFirst - 175Watt - 2cores,7.408506003s,252.0Joules,241.0%,-33.0%
ECoreFirst - 175Watt - 4cores,4.494638942s,202.0Joules,106.9%,-46.3%
ECoreFirst - 175Watt - 8cores,2.827356864s,186.0Joules,30.1%,-50.5%
ECoreFirst - 175Watt - 12cores,2.499616585s,215.0Joules,15.1%,-42.8%
ECoreFirst - 175Watt - 16cores,2.210227324s,225.0Joules,1.7%,-40.2%
ECoreFirst - 175Watt - 20cores,2.143663099s,300.0Joules,-1.3%,-20.2%
ECoreFirst - 175Watt - 24cores,2.218085007s,350.0Joules,2.1%,-6.9%
ECoreFirst - 175Watt - 28cores,2.242800728s,368.0Joules,3.2%,-2.1%
ECoreFirst - 175Watt - 32cores,2.174153163s,396.0Joules,0.1%,5.3%
ECoreFirst - 253Watt - 2cores,7.388603844s,253.0Joules,240.1%,-32.7%
ECoreFirst - 253Watt - 4cores,4.477460066s,204.0Joules,106.1%,-45.7%
ECoreFirst - 253Watt - 8cores,2.80194933s,187.0Joules,29.0%,-50.3%
ECoreFirst - 253Watt - 12cores,2.470905887s,213.0Joules,13.7%,-43.4%
ECoreFirst - 253Watt - 16cores,2.211892528s,219.0Joules,1.8%,-41.8%
ECoreFirst - 253Watt - 20cores,2.127997859s,286.0Joules,-2.0%,-23.9%
ECoreFirst - 253Watt - 24cores,2.144568443s,349.0Joules,-1.3%,-7.2%
ECoreFirst - 253Watt - 28cores,2.176568432s,365.0Joules,0.2%,-2.9%
ECoreFirst - 253Watt - 32cores,2.172486588s,376.0Joules,0.0%,0.0%
