Configuration,duration_time,energy_consumption,%Overhead (duration_time),%Overhead (energy_consumption)
PCoreFirst - 50Watt - 2cores,7.816393203s,333.0Joules,270.2%,-13.3%
PCoreFirst - 50Watt - 4cores,4.957967675s,275.0Joules,134.8%,-28.4%
PCoreFirst - 50Watt - 8cores,2.990536318s,258.0Joules,41.6%,-32.8%
PCoreFirst - 50Watt - 12cores,2.85311473s,169.0Joules,35.1%,-56.0%
PCoreFirst - 50Watt - 16cores,2.482925591s,153.0Joules,17.6%,-60.2%
PCoreFirst - 50Watt - 20cores,2.895809696s,168.0Joules,37.2%,-56.2%
PCoreFirst - 50Watt - 24cores,2.844233353s,166.0Joules,34.7%,-56.8%
PCoreFirst - 50Watt - 28cores,3.519476561s,190.0Joules,66.7%,-50.5%
PCoreFirst - 50Watt - 32cores,3.882577509s,209.0Joules,83.9%,-45.6%
PCoreFirst - 75Watt - 2cores,8.856576034s,336.0Joules,319.5%,-12.5%
PCoreFirst - 75Watt - 4cores,4.945543475s,276.0Joules,134.2%,-28.1%
PCoreFirst - 75Watt - 8cores,2.983243832s,265.0Joules,41.3%,-31.0%
PCoreFirst - 75Watt - 12cores,2.429581334s,280.0Joules,15.1%,-27.1%
PCoreFirst - 75Watt - 16cores,2.021107303s,280.0Joules,-4.3%,-27.1%
PCoreFirst - 75Watt - 20cores,2.330773793s,393.0Joules,10.4%,2.3%
PCoreFirst - 75Watt - 24cores,2.117739906s,358.0Joules,0.3%,-6.8%
PCoreFirst - 75Watt - 28cores,2.08701692s,386.0Joules,-1.2%,0.5%
PCoreFirst - 75Watt - 32cores,2.087251708s,380.0Joules,-1.1%,-1.0%
PCoreFirst - 100Watt - 2cores,8.849861506s,337.0Joules,319.2%,-12.2%
PCoreFirst - 100Watt - 4cores,4.943787681s,276.0Joules,134.2%,-28.1%
PCoreFirst - 100Watt - 8cores,3.018803749s,265.0Joules,43.0%,-31.0%
PCoreFirst - 100Watt - 12cores,2.392694479s,275.0Joules,13.3%,-28.4%
PCoreFirst - 100Watt - 16cores,2.009322152s,279.0Joules,-4.8%,-27.3%
PCoreFirst - 100Watt - 20cores,2.472941957s,337.0Joules,17.1%,-12.2%
PCoreFirst - 100Watt - 24cores,2.055291635s,347.0Joules,-2.7%,-9.6%
PCoreFirst - 100Watt - 28cores,2.151739483s,381.0Joules,1.9%,-0.8%
PCoreFirst - 100Watt - 32cores,2.218810559s,351.0Joules,5.1%,-8.6%
PCoreFirst - 175Watt - 2cores,8.846983093s,337.0Joules,319.0%,-12.2%
PCoreFirst - 175Watt - 4cores,4.943132546s,277.0Joules,134.1%,-27.9%
PCoreFirst - 175Watt - 8cores,2.995921538s,265.0Joules,41.9%,-31.0%
PCoreFirst - 175Watt - 12cores,2.377309309s,283.0Joules,12.6%,-26.3%
PCoreFirst - 175Watt - 16cores,2.015015269s,281.0Joules,-4.6%,-26.8%
PCoreFirst - 175Watt - 20cores,2.395301358s,357.0Joules,13.4%,-7.0%
PCoreFirst - 175Watt - 24cores,2.127310267s,361.0Joules,0.8%,-6.0%
PCoreFirst - 175Watt - 28cores,2.100483365s,373.0Joules,-0.5%,-2.9%
PCoreFirst - 175Watt - 32cores,2.105589334s,356.0Joules,-0.3%,-7.3%
PCoreFirst - 253Watt - 2cores,8.862700739s,336.0Joules,319.8%,-12.5%
PCoreFirst - 253Watt - 4cores,5.291469607s,277.0Joules,150.6%,-27.9%
PCoreFirst - 253Watt - 8cores,3.019973855s,266.0Joules,43.0%,-30.7%
PCoreFirst - 253Watt - 12cores,2.415428226s,285.0Joules,14.4%,-25.8%
PCoreFirst - 253Watt - 16cores,2.029327227s,275.0Joules,-3.9%,-28.4%
PCoreFirst - 253Watt - 20cores,2.321014033s,341.0Joules,9.9%,-11.2%
PCoreFirst - 253Watt - 24cores,2.104882941s,321.0Joules,-0.3%,-16.4%
PCoreFirst - 253Watt - 28cores,2.111255473s,364.0Joules,-0.0%,-5.2%
PCoreFirst - 253Watt - 32cores,2.111373346s,384.0Joules,0.0%,0.0%
