duration_time,energy_consumption,relative EDP
9.52403096s,80.29Joules,12.071902538005899
7.383326844s,65.11Joules,7.589152041239271
4.648005888s,43.15Joules,3.1662188759644514
3.796813834s,37.71Joules,2.2603167312766232
3.04005096s,33.22Joules,1.5943143530358193
2.531427205s,28.91Joules,1.1553325225535342
2.18956523s,28.64Joules,0.9899753150943863
1.931190787s,27.48Joules,0.8377903880207408
1.758954155s,32.65Joules,0.906632263747488
1.602098888s,36.94Joules,0.9342856408771533
1.532737606s,40.96Joules,0.9911085555080047
9.409107193s,80.55Joules,11.96485459400473
7.310260671s,64.16Joules,7.404413820901948
4.693128788s,43.04Joules,3.1888067375476457
3.773904352s,37.68Joules,2.2448909398678256
3.075420722s,32.73Joules,1.5890735748028932
2.496631128s,30.83Joules,1.2151261574585175
2.152522951s,28.28Joules,0.9609939642452698
1.875224503s,27.63Joules,0.8179516224503353
1.753863342s,33.05Joules,0.9150834034961368
1.605732396s,37.22Joules,0.9435023850497862
1.533107871s,40.4Joules,0.9777943929759658
9.536295158s,80.07Joules,12.054327238342173
7.437514875s,64.82Joules,7.610800501464981
4.756318813s,44.4Joules,3.3338602550947494
3.724666698s,37.04Joules,2.17796982301283
3.017686904s,32.16Joules,1.5320878988305089
2.530751241s,29.72Joules,1.1873854631660807
2.143976055s,27.88Joules,0.9436396137254917
1.913297212s,27.5Joules,0.830631882102365
1.784361303s,33.59Joules,0.9462072343460098
1.64149742s,39.39Joules,1.0207506129400736
1.535836525s,40.17Joules,0.973958130807481
9.497525183s,80.26Joules,12.033807868448886
7.278334376s,64.51Joules,7.41229183201881
4.700234378s,43.97Joules,3.2626421638129224
3.731618404s,35.94Joules,2.1172335300834253
2.994253021s,32.42Joules,1.5324805492466662
2.554426247s,30.22Joules,1.2186564518301286
2.136170082s,28.24Joules,0.9523442955782931
1.85997855s,27.64Joules,0.8115951416308983
1.739564688s,32.78Joules,0.9002082661645806
1.61028981s,37.26Joules,0.9471970992269626
1.506334326s,40.41Joules,0.9609564084410855
9.489723016s,80.27Joules,12.025420279933869
7.41298635s,64.97Joules,7.6032545637168925
4.735349205s,42.48Joules,3.1756306390006057
3.795480551s,37.91Joules,2.2715066828445645
3.057541952s,34.48Joules,1.664305873613766
2.505869167s,29.92Joules,1.183623136365285
2.144610924s,27.63Joules,0.9354549185999586
1.894741982s,26.75Joules,0.8001424808096803
1.790456376s,32.88Joules,0.9293707866514667
1.59297728s,36.87Joules,0.9272058934135827
1.529313215s,41.42Joules,1.0
