Configuration,duration_time,energy_consumption,%Overhead (duration_time),%Overhead (energy_consumption)
Balanced - 50Watt - 2cores,19.202542694s,851.0Joules,226.9%,29.9%
Balanced - 50Watt - 4cores,14.597683085s,805.0Joules,148.5%,22.9%
Balanced - 50Watt - 8cores,9.205222567s,736.0Joules,56.7%,12.4%
Balanced - 50Watt - 12cores,7.429511024s,764.0Joules,26.5%,16.6%
Balanced - 50Watt - 16cores,6.741443356s,692.0Joules,14.8%,5.6%
Balanced - 50Watt - 20cores,6.468287301s,646.0Joules,10.1%,-1.4%
Balanced - 50Watt - 24cores,6.781938198s,662.0Joules,15.5%,1.1%
Balanced - 50Watt - 28cores,6.274279762s,655.0Joules,6.8%,0.0%
Balanced - 50Watt - 32cores,5.972652564s,645.0Joules,1.7%,-1.5%
Balanced - 75Watt - 2cores,19.213882685s,845.0Joules,227.1%,29.0%
Balanced - 75Watt - 4cores,14.509418778s,803.0Joules,147.0%,22.6%
Balanced - 75Watt - 8cores,9.159292356s,737.0Joules,55.9%,12.5%
Balanced - 75Watt - 12cores,7.376427524s,765.0Joules,25.6%,16.8%
Balanced - 75Watt - 16cores,6.58117173s,695.0Joules,12.0%,6.1%
Balanced - 75Watt - 20cores,6.369188606s,656.0Joules,8.4%,0.2%
Balanced - 75Watt - 24cores,6.101916639s,656.0Joules,3.9%,0.2%
Balanced - 75Watt - 28cores,5.970535048s,646.0Joules,1.6%,-1.4%
Balanced - 75Watt - 32cores,5.914888163s,636.0Joules,0.7%,-2.9%
Balanced - 100Watt - 2cores,19.254388038s,849.0Joules,227.8%,29.6%
Balanced - 100Watt - 4cores,14.493934016s,803.0Joules,146.8%,22.6%
Balanced - 100Watt - 8cores,9.149562862s,740.0Joules,55.8%,13.0%
Balanced - 100Watt - 12cores,7.49125328s,763.0Joules,27.5%,16.5%
Balanced - 100Watt - 16cores,6.711225102s,690.0Joules,14.3%,5.3%
Balanced - 100Watt - 20cores,6.324928251s,645.0Joules,7.7%,-1.5%
Balanced - 100Watt - 24cores,6.226903169s,665.0Joules,6.0%,1.5%
Balanced - 100Watt - 28cores,6.199667671s,650.0Joules,5.6%,-0.8%
Balanced - 100Watt - 32cores,5.996485301s,662.0Joules,2.1%,1.1%
Balanced - 175Watt - 2cores,19.169966775s,857.0Joules,226.4%,30.8%
Balanced - 175Watt - 4cores,14.569777618s,810.0Joules,148.1%,23.7%
Balanced - 175Watt - 8cores,9.168088721s,738.0Joules,56.1%,12.7%
Balanced - 175Watt - 12cores,7.408852155s,766.0Joules,26.1%,16.9%
Balanced - 175Watt - 16cores,6.617176333s,694.0Joules,12.7%,6.0%
Balanced - 175Watt - 20cores,6.400332864s,647.0Joules,9.0%,-1.2%
Balanced - 175Watt - 24cores,6.303626165s,655.0Joules,7.3%,0.0%
Balanced - 175Watt - 28cores,6.279777271s,674.0Joules,6.9%,2.9%
Balanced - 175Watt - 32cores,6.013009138s,654.0Joules,2.4%,-0.2%
Balanced - 253Watt - 2cores,19.160342859s,857.0Joules,226.2%,30.8%
Balanced - 253Watt - 4cores,14.553295721s,805.0Joules,147.8%,22.9%
Balanced - 253Watt - 8cores,9.373455155s,740.0Joules,59.6%,13.0%
Balanced - 253Watt - 12cores,7.358392233s,765.0Joules,25.3%,16.8%
Balanced - 253Watt - 16cores,6.707495464s,700.0Joules,14.2%,6.9%
Balanced - 253Watt - 20cores,6.200707142s,651.0Joules,5.6%,-0.6%
Balanced - 253Watt - 24cores,6.136783229s,664.0Joules,4.5%,1.4%
Balanced - 253Watt - 28cores,5.979121119s,678.0Joules,1.8%,3.5%
Balanced - 253Watt - 32cores,5.873672297s,655.0Joules,0.0%,0.0%
